entry,price,volume_24h,market_cap,price_change_24h,price_change_percentage_24h,created_at,updated_at
1782247354507,62405,29476213585.678947,1251099888296.585,-3.145498016756961,-3.145498016756961,2026-06-23T20:42:34.506Z,2026-06-23T20:42:34.506Z
1782247654507,62403,30216992448.782276,1250983502471.3293,-3.097305652459928,-3.097305652459928,2026-06-23T20:47:34.507Z,2026-06-23T20:47:34.507Z
1782247954533,62385,30835529918.80284,1250343077041.2092,-3.0586661349400135,-3.0586661349400135,2026-06-23T20:52:34.533Z,2026-06-23T20:52:34.533Z
1782248254510,62351,30455281128.442924,1249494220543.3467,-3.1309205869692427,-3.1309205869692427,2026-06-23T20:57:34.510Z,2026-06-23T20:57:34.510Z
1782248554538,62403,30984073611.97621,1250737985166.274,-3.0735777812452456,-3.0735777812452456,2026-06-23T21:02:34.538Z,2026-06-23T21:02:34.538Z
1782248854519,62487,31031941888.589554,1251208346116.7083,-2.8814350426278788,-2.8814350426278788,2026-06-23T21:07:34.519Z,2026-06-23T21:07:34.519Z
1782249154534,62459,29897139620.331192,1252788754628.8005,-2.9010812226817477,-2.9010812226817477,2026-06-23T21:12:34.534Z,2026-06-23T21:12:34.534Z
1782249454530,62458,30917208108.33696,1251924699507.3794,-2.8623239021732814,-2.8623239021732814,2026-06-23T21:17:34.530Z,2026-06-23T21:17:34.530Z
1782249754618,62426,31024002329.067154,1251298476273.617,-2.7904073191706176,-2.7904073191706176,2026-06-23T21:22:34.618Z,2026-06-23T21:22:34.618Z
1782250054565,62465,30346507125.280285,1251552626291.6191,-2.749437550386529,-2.749437550386529,2026-06-23T21:27:34.565Z,2026-06-23T21:27:34.565Z
1782250354597,62497,30031409644.22327,1252930586843.9995,-2.6979664455107386,-2.6979664455107386,2026-06-23T21:32:34.597Z,2026-06-23T21:32:34.597Z
1782250654610,62490,29680486763.097015,1252855290921.554,-2.6544938972291443,-2.6544938972291443,2026-06-23T21:37:34.610Z,2026-06-23T21:37:34.610Z
1782250954623,62528,30538750175.32291,1252817872520.4277,-2.508852090226537,-2.508852090226537,2026-06-23T21:42:34.623Z,2026-06-23T21:42:34.623Z
1782251254590,62554,31151542300.770454,1253237796758.5547,-2.5336522200348597,-2.5336522200348597,2026-06-23T21:47:34.590Z,2026-06-23T21:47:34.590Z
1782251554600,62574,30604263852.02985,1254200327473.5288,-2.5074382078475166,-2.5074382078475166,2026-06-23T21:52:34.600Z,2026-06-23T21:52:34.600Z
1782251854629,62535,30110756496.954056,1254026959929.034,-2.6467502727986942,-2.6467502727986942,2026-06-23T21:57:34.629Z,2026-06-23T21:57:34.629Z
1782252154614,62540,30089362822.633675,1253386057399.437,-2.7316656466055584,-2.7316656466055584,2026-06-23T22:02:34.614Z,2026-06-23T22:02:34.614Z
1782252454672,62584,30942087376.71637,1253783156293.68,-2.581325153472675,-2.581325153472675,2026-06-23T22:07:34.672Z,2026-06-23T22:07:34.672Z
1782252754621,62652,30373838683.97872,1254668772012.1836,-2.518975489268258,-2.518975489268258,2026-06-23T22:12:34.621Z,2026-06-23T22:12:34.621Z
1782253054630,62675,30205887506.653866,1256450175915.5095,-2.393715045131897,-2.393715045131897,2026-06-23T22:17:34.630Z,2026-06-23T22:17:34.630Z
1782253354668,62650,30153724611.13311,1256764045418.945,-2.3900819233061754,-2.3900819233061754,2026-06-23T22:22:34.668Z,2026-06-23T22:22:34.668Z
1782253654715,62511,27267050087.172325,1254946032996.3228,-2.3415504521361883,-2.3415504521361883,2026-06-23T22:27:34.715Z,2026-06-23T22:27:34.715Z
1782253954684,62544,30813505120.557922,1253783964632.5945,-2.2931803939254185,-2.2931803939254185,2026-06-23T22:32:34.684Z,2026-06-23T22:32:34.684Z
1782254254675,62484,31078159583.326115,1253709412861.9246,-2.159327241355111,-2.159327241355111,2026-06-23T22:37:34.675Z,2026-06-23T22:37:34.675Z
1782254554693,62499,30740654080.702152,1252566638674.3962,-2.086780235471582,-2.086780235471582,2026-06-23T22:42:34.693Z,2026-06-23T22:42:34.693Z
1782254854707,62497,29785166487.705235,1252884460826.7441,-2.1006017310407907,-2.1006017310407907,2026-06-23T22:47:34.707Z,2026-06-23T22:47:34.707Z
1782255154734,62487,29780004409.242603,1252693925728.3357,-2.197169317229167,-2.197169317229167,2026-06-23T22:52:34.734Z,2026-06-23T22:52:34.734Z
1782255454694,62505,29786370069.849445,1252550953618.7185,-2.2014404020750233,-2.2014404020750233,2026-06-23T22:57:34.694Z,2026-06-23T22:57:34.694Z
1782255754759,62489,30214699088.924667,1253554586350.5474,-2.1883719386521543,-2.1883719386521543,2026-06-23T23:02:34.759Z,2026-06-23T23:02:34.759Z
1782256054780,62455,30471489235.468903,1253184851497.5623,-2.3150231733926354,-2.3150231733926354,2026-06-23T23:07:34.780Z,2026-06-23T23:07:34.780Z
1782256354729,62464,29608581045.60378,1252034942050.3352,-2.28103861067058,-2.28103861067058,2026-06-23T23:12:34.729Z,2026-06-23T23:12:34.729Z
1782256654799,62488,30008905099.456623,1252184881104.4763,-2.1465615346620277,-2.1465615346620277,2026-06-23T23:17:34.799Z,2026-06-23T23:17:34.799Z
1782256954771,62503,30097674752.06837,1252782234397.619,-2.213541029690646,-2.213541029690646,2026-06-23T23:22:34.771Z,2026-06-23T23:22:34.771Z
1782257254788,62587,30651866207.58285,1253453673271.39,-2.1544744318323548,-2.1544744318323548,2026-06-23T23:27:34.788Z,2026-06-23T23:27:34.788Z
1782257554758,62589,30050650028.729454,1254937528139.7854,-2.0774801044025173,-2.0774801044025173,2026-06-23T23:32:34.758Z,2026-06-23T23:32:34.758Z
1782257854785,62593,29344130707.075127,1254711773302.2969,-2.0979905046877447,-2.0979905046877447,2026-06-23T23:37:34.785Z,2026-06-23T23:37:34.785Z
1782258154801,62539,30681066218.85146,1254468014643.3274,-2.162813447009822,-2.162813447009822,2026-06-23T23:42:34.801Z,2026-06-23T23:42:34.801Z
1782258454772,62559,29924893431.17823,1253868903207.2705,-2.112673063966813,-2.112673063966813,2026-06-23T23:47:34.772Z,2026-06-23T23:47:34.772Z
1782258754763,62654,30107140516.427433,1256025968759.2698,-2.014469692560381,-2.014469692560381,2026-06-23T23:52:34.763Z,2026-06-23T23:52:34.763Z
1782259054796,62662,29944992861.546715,1255918731200.5166,-2.0251013095972494,-2.0251013095972494,2026-06-23T23:57:34.796Z,2026-06-23T23:57:34.796Z
1782259354820,62691,30155178199.90501,1256343704860.264,-1.9387595302537326,-1.9387595302537326,2026-06-24T00:02:34.820Z,2026-06-24T00:02:34.820Z
1782259654799,62682,30054259619.794487,1256343704860.264,-1.8907146561615094,-1.8907146561615094,2026-06-24T00:07:34.799Z,2026-06-24T00:07:34.799Z
1782259954791,62773,30131640096.909733,1257915439094.1826,-1.7250252747097456,-1.7250252747097456,2026-06-24T00:12:34.791Z,2026-06-24T00:12:34.791Z
1782260254829,62804,30735602054.22247,1257915439094.1826,-1.659197381050343,-1.659197381050343,2026-06-24T00:17:34.829Z,2026-06-24T00:17:34.829Z
1782260554793,62804,30408870794.281864,1259615626520.6462,-1.5818718412145039,-1.5818718412145039,2026-06-24T00:22:34.793Z,2026-06-24T00:22:34.793Z
1782260854835,62775,29627803450.335255,1258635971575.1855,-1.5819582158529404,-1.5819582158529404,2026-06-24T00:27:34.835Z,2026-06-24T00:27:34.835Z
1782261154837,62775,30202211540.27255,1258529891883.5283,-1.8035120657324761,-1.8035120657324761,2026-06-24T00:32:34.837Z,2026-06-24T00:32:34.837Z
1782261454848,62782,30760531631.591564,1258455089083.498,-1.7874037105785494,-1.7874037105785494,2026-06-24T00:37:34.848Z,2026-06-24T00:37:34.848Z
1782261754954,62921,30373686433.134796,1260956481529.9082,-1.6679735480532567,-1.6679735480532567,2026-06-24T00:42:34.954Z,2026-06-24T00:42:34.954Z
1782262054845,62872,30306269553.990902,1261294648705.86,-1.768947423676588,-1.768947423676588,2026-06-24T00:47:34.845Z,2026-06-24T00:47:34.845Z
1782262354953,62918,30246945375.74842,1261073407594.5447,-1.7781063920927653,-1.7781063920927653,2026-06-24T00:52:34.953Z,2026-06-24T00:52:34.953Z
1782262654880,62912,29873650320.620483,1261261023174.1782,-1.7705572768422408,-1.7705572768422408,2026-06-24T00:57:34.880Z,2026-06-24T00:57:34.880Z
1782262954848,62922,30133948544.003544,1261374503466.0596,-1.8906320447491358,-1.8906320447491358,2026-06-24T01:02:34.848Z,2026-06-24T01:02:34.848Z
1782263254900,62841,30745239151.836773,1261060622254.5215,-2.0447014885752717,-2.0447014885752717,2026-06-24T01:07:34.900Z,2026-06-24T01:07:34.900Z
1782263554892,62858,30773904240.55821,1259427040160.8508,-2.039506652214831,-2.039506652214831,2026-06-24T01:12:34.892Z,2026-06-24T01:12:34.892Z
1782263854834,62862,30851139867.9955,1259427040160.8508,-1.958974330793388,-1.958974330793388,2026-06-24T01:17:34.834Z,2026-06-24T01:17:34.834Z
1782264154884,62758,30108491278.65021,1257548193331.5508,-2.1402312891273687,-2.1402312891273687,2026-06-24T01:22:34.884Z,2026-06-24T01:22:34.884Z
1782264454922,62836,30309142213.90678,1258670557265.841,-1.988190098298931,-1.988190098298931,2026-06-24T01:27:34.922Z,2026-06-24T01:27:34.922Z
1782264754920,62884,30915670392.659958,1259424903959.153,-1.9198758827198552,-1.9198758827198552,2026-06-24T01:32:34.920Z,2026-06-24T01:32:34.920Z
1782265054939,63017,30376482505.781082,1263198803922.0554,-1.4855118386679178,-1.4855118386679178,2026-06-24T01:37:34.939Z,2026-06-24T01:37:34.939Z
1782265355004,62952,30932170696.0613,1262754893539.5964,-1.6639359901280488,-1.6639359901280488,2026-06-24T01:42:35.004Z,2026-06-24T01:42:35.004Z
1782265654971,62900,30838206357.333267,1260631423510.889,-1.5625720116382222,-1.5625720116382222,2026-06-24T01:47:34.971Z,2026-06-24T01:47:34.971Z
1782265954991,62917,30854111282.564316,1261103823546.4158,-1.6234785969338614,-1.6234785969338614,2026-06-24T01:52:34.991Z,2026-06-24T01:52:34.991Z
1782266254993,62913,30022738649.256012,1261513437989.6128,-1.8204690383917983,-1.8204690383917983,2026-06-24T01:57:34.993Z,2026-06-24T01:57:34.993Z
1782266554936,62883,30737461732.395073,1260662223366.7253,-1.8468197172112437,-1.8468197172112437,2026-06-24T02:02:34.936Z,2026-06-24T02:02:34.936Z
1782266854973,62787,30720471435.49196,1259932593923.8147,-1.9450455183169741,-1.9450455183169741,2026-06-24T02:07:34.973Z,2026-06-24T02:07:34.973Z
1782267154951,62799,30730735907.845596,1258537296463.3518,-1.9234886170605838,-1.9234886170605838,2026-06-24T02:12:34.951Z,2026-06-24T02:12:34.951Z
1782267455038,62772,30786867123.848656,1258537296463.3518,-2.082453216681917,-2.082453216681917,2026-06-24T02:17:35.038Z,2026-06-24T02:17:35.038Z
1782267755037,62700,30656366054.630726,1257333347244.9531,-2.1903132843517974,-2.1903132843517974,2026-06-24T02:22:35.037Z,2026-06-24T02:22:35.037Z
1782268054990,62646,30768143495.79269,1255707326297.7087,-2.2928710639589225,-2.2928710639589225,2026-06-24T02:27:34.990Z,2026-06-24T02:27:34.990Z
1782268354983,62692,30768195794.763496,1255892447283.1682,-2.219410629666718,-2.219410629666718,2026-06-24T02:32:34.983Z,2026-06-24T02:32:34.983Z
1782268655022,62635,30279887590.86059,1255768932544.455,-2.314761503597744,-2.314761503597744,2026-06-24T02:37:35.022Z,2026-06-24T02:37:35.022Z
1782268955106,62661,30930868549.050663,1254962848454.9426,-2.3252839440010176,-2.3252839440010176,2026-06-24T02:42:35.106Z,2026-06-24T02:42:35.106Z
1782269255031,62654,30088738901.30647,1256246324959.8645,-2.2654091146015385,-2.2654091146015385,2026-06-24T02:47:35.031Z,2026-06-24T02:47:35.031Z
1782269555055,62644,29817717145.863857,1255661368115.7305,-2.375691778212654,-2.375691778212654,2026-06-24T02:52:35.055Z,2026-06-24T02:52:35.055Z
1782269855030,62623,30772014572.484116,1254843438166.07,-2.3722321160456623,-2.3722321160456623,2026-06-24T02:57:35.030Z,2026-06-24T02:57:35.030Z
1782270155068,62589,30346445588.27342,1254515765091.277,-2.185798244862113,-2.185798244862113,2026-06-24T03:02:35.068Z,2026-06-24T03:02:35.068Z
1782270455028,62526,31006421944.539436,1254376563299.232,-2.185567934149366,-2.185567934149366,2026-06-24T03:07:35.028Z,2026-06-24T03:07:35.028Z
1782270755084,62558,NaN,NaN,NaN,NaN,2026-06-24T03:12:35.084Z,2026-06-24T03:12:35.084Z
1782271055017,62486,30455203798.384144,1253266665293.188,-2.3348784229224244,-2.3348784229224244,2026-06-24T03:17:35.017Z,2026-06-24T03:17:35.017Z
1782271355154,62431,30617898901.833813,1251004886090.2537,-2.3863677675150567,-2.3863677675150567,2026-06-24T03:22:35.154Z,2026-06-24T03:22:35.154Z
1782271655181,62497,30690916125.34381,1252247352846.9634,-2.368944657958525,-2.368944657958525,2026-06-24T03:27:35.181Z,2026-06-24T03:27:35.181Z
1782271955070,62642,31338593310.16011,1253216995680.6992,-2.091620740544865,-2.091620740544865,2026-06-24T03:32:35.070Z,2026-06-24T03:32:35.070Z
1782272255192,62713,30798028746.836914,1256976727581.9595,-1.8836940977043648,-1.8836940977043648,2026-06-24T03:37:35.192Z,2026-06-24T03:37:35.192Z
1782272555148,62741,30490786399.705738,1257689826567.335,-1.8393081993884008,-1.8393081993884008,2026-06-24T03:42:35.148Z,2026-06-24T03:42:35.148Z
1782272855107,62738,30061621290.441727,1257595693378.1587,-1.8885603215277138,-1.8885603215277138,2026-06-24T03:47:35.107Z,2026-06-24T03:47:35.107Z
1782273155125,62701,30505783563.332825,1257695661856.0657,-1.9958409012906992,-1.9958409012906992,2026-06-24T03:52:35.125Z,2026-06-24T03:52:35.125Z
1782273455148,62679,29892507449.11484,1256596325116.5918,-2.0353132151160507,-2.0353132151160507,2026-06-24T03:57:35.148Z,2026-06-24T03:57:35.148Z
1782273755240,62653,30496803055.952614,1256466470067.2627,-2.0925784282240034,-2.0925784282240034,2026-06-24T04:02:35.240Z,2026-06-24T04:02:35.240Z
1782274055172,62595,30804235912.468533,1256215765613.2852,-2.181700901253585,-2.181700901253585,2026-06-24T04:07:35.172Z,2026-06-24T04:07:35.172Z
1782274355133,62575,29760014109.072876,1254780117603.1848,-2.1844193466342134,-2.1844193466342134,2026-06-24T04:12:35.133Z,2026-06-24T04:12:35.133Z
1782274655183,62603,30408541202.98609,1254978805191.5872,-2.0607710225490212,-2.0607710225490212,2026-06-24T04:17:35.183Z,2026-06-24T04:17:35.183Z
1782274955133,62546,30444570716.721516,1254318280528.9414,-2.0812971913705023,-2.0812971913705023,2026-06-24T04:22:35.133Z,2026-06-24T04:22:35.133Z
1782275255146,62491,30843235154.63768,1253214326902.6892,-2.1814527475725596,-2.1814527475725596,2026-06-24T04:27:35.146Z,2026-06-24T04:27:35.146Z
1782275555181,62527,30954778624.881638,1253017818642.083,-2.057071917414357,-2.057071917414357,2026-06-24T04:32:35.181Z,2026-06-24T04:32:35.181Z
1782275855205,62607,31571902919.38532,1255326858363.1248,-1.8563451302883271,-1.8563451302883271,2026-06-24T04:37:35.205Z,2026-06-24T04:37:35.205Z
1782276155150,62600,30569097192.9833,1255147274576.8096,-1.8249301193287861,-1.8249301193287861,2026-06-24T04:42:35.150Z,2026-06-24T04:42:35.150Z
1782276455141,62625,31600502370.780834,1255087432626.1404,-1.7683445691889128,-1.7683445691889128,2026-06-24T04:47:35.141Z,2026-06-24T04:47:35.141Z
1782276755150,62691,30230936088.250652,1256773798440.6562,-1.4904735757829035,-1.4904735757829035,2026-06-24T04:52:35.150Z,2026-06-24T04:52:35.150Z
1782277055137,62687,30815198263.24217,1256497387628.7524,-1.4677140613609794,-1.4677140613609794,2026-06-24T04:57:35.137Z,2026-06-24T04:57:35.137Z
1782277355183,62685,30805761672.47976,1257037207021.296,-1.4344649504368938,-1.4344649504368938,2026-06-24T05:02:35.183Z,2026-06-24T05:02:35.183Z
1782277655144,62661,31582664576.997807,1257261318795.0073,-1.4724170326547905,-1.4724170326547905,2026-06-24T05:07:35.144Z,2026-06-24T05:07:35.144Z
1782277955182,62723,31593147856.603947,1255980270246.0515,-1.361469076862189,-1.361469076862189,2026-06-24T05:12:35.182Z,2026-06-24T05:12:35.182Z
1782278255186,62725,30771789161.099934,1257348752083.1096,-1.2982789617127182,-1.2982789617127182,2026-06-24T05:17:35.186Z,2026-06-24T05:17:35.186Z
1782278555101,62747,31501593531.06116,1258460579583.3596,-1.0385782226013889,-1.0385782226013889,2026-06-24T05:22:35.101Z,2026-06-24T05:22:35.101Z
1782278855197,62786,31360951473.33645,1258629063066.4204,-0.9421976533525769,-0.9421976533525769,2026-06-24T05:27:35.197Z,2026-06-24T05:27:35.197Z
1782279155246,62790,30481185765.55652,1258760113164.064,-0.9701355921155748,-0.9701355921155748,2026-06-24T05:32:35.246Z,2026-06-24T05:32:35.246Z
1782279455286,62833,30942716319.066223,1259394901344.023,-0.8303186658359529,-0.8303186658359529,2026-06-24T05:37:35.286Z,2026-06-24T05:37:35.286Z
1782279755317,62886,31375247364.70457,1260694549444.9763,-0.7510669547861503,-0.7510669547861503,2026-06-24T05:42:35.317Z,2026-06-24T05:42:35.317Z
1782280055313,62851,31240536476.75624,1260694799635.9524,-0.7168695851134486,-0.7168695851134486,2026-06-24T05:47:35.313Z,2026-06-24T05:47:35.313Z
1782280355296,62841,30885541142.44387,1260011643284.5366,-0.7709634392150474,-0.7709634392150474,2026-06-24T05:52:35.296Z,2026-06-24T05:52:35.296Z
1782280655292,62804,30090326032.467995,1259078867272.1296,-0.8044333436516933,-0.8044333436516933,2026-06-24T05:57:35.292Z,2026-06-24T05:57:35.292Z
1782280955288,62788,29910775637.23533,1258956706348.9785,-0.7985203545746121,-0.7985203545746121,2026-06-24T06:02:35.288Z,2026-06-24T06:02:35.288Z
1782281255333,62717,30324007067.18722,1258956706348.9785,-0.6175893586495812,-0.6175893586495812,2026-06-24T06:07:35.333Z,2026-06-24T06:07:35.333Z
1782281555351,62773,30226872052.465744,1257648042728.9568,-0.5352223442169162,-0.5352223442169162,2026-06-24T06:12:35.351Z,2026-06-24T06:12:35.351Z
1783180701088,62873,20185587874,1260935611080,1005,1.62498,2026-07-04T15:58:21.088Z,2026-07-04T15:58:21.088Z
